Seed 1656949570
ARCH 0|F_ID 2|LIMIT 5
before: 
06(618)
Melhor resultado nxn: T-LGL_Survival_Network_2011, 473,  8,  8,  461, 0, 6, 506506, 26569.10, 0, 0.00, 0: 5; 1: 66; 2: 47; 3: 31; 4: 25; 5: 18; 6: 3; 
T-LGL_Survival_Network_2011, 857,  9,  7,  471, 0, 6, 499194, 26569.10, 0, 0.00, 0: 5; 1: 63; 2: 45; 3: 33; 4: 29; 5: 17; 6: 3; 
T-LGL_Survival_Network_2011,  71,  7,  9,  471, 0, 6, 499199, 26569.10, 0, 0.00, 0: 5; 1: 65; 2: 44; 3: 32; 4: 26; 5: 20; 6: 3; 
T-LGL_Survival_Network_2011, 140,  9,  7,  471, 0, 6, 499210, 26569.10, 13, 0.00, 0: 5; 1: 62; 2: 41; 3: 43; 4: 25; 5: 16; 6: 3; 
T-LGL_Survival_Network_2011, 298,  7,  9,  471, 0, 6, 499214, 26569.10, 0, 0.00, 0: 5; 1: 60; 2: 45; 3: 41; 4: 25; 5: 16; 6: 3; 
T-LGL_Survival_Network_2011, 931,  8,  8,  471, 0, 6, 506497, 26569.10, 0, 0.00, 0: 5; 1: 63; 2: 46; 3: 33; 4: 26; 5: 19; 6: 3; 
T-LGL_Survival_Network_2011, 852,  7,  9,  471, 0, 6, 499203, 26569.10, 10, 0.00, 0: 5; 1: 63; 2: 43; 3: 36; 4: 29; 5: 16; 6: 3; 
T-LGL_Survival_Network_2011, 516,  9,  7,  471, 0, 6, 499208, 26569.10, 1, 0.00, 0: 5; 1: 67; 2: 41; 3: 29; 4: 33; 5: 17; 6: 3; 
T-LGL_Survival_Network_2011, 679,  8,  8,  471, 0, 6, 506486, 26569.10, 0, 0.00, 0: 5; 1: 67; 2: 34; 3: 42; 4: 28; 5: 16; 6: 3; 
T-LGL_Survival_Network_2011, 905,  8,  8,  471, 0, 6, 506524, 26569.10, 0, 0.00, 0: 5; 1: 64; 2: 41; 3: 38; 4: 27; 5: 17; 6: 3; 
T-LGL_Survival_Network_2011, 449,  7,  9,  471, 0, 6, 499188, 26569.10, 0, 0.00, 0: 5; 1: 63; 2: 46; 3: 32; 4: 28; 5: 18; 6: 3; 
T-LGL_Survival_Network_2011, 751,  9,  7,  471, 0, 6, 499176, 26569.10, 0, 0.00, 0: 5; 1: 59; 2: 46; 3: 41; 4: 26; 5: 15; 6: 3; 
