Seed 1656949570
ARCH 1|F_ID 1|LIMIT 4
before: 
82(298)
Melhor resultado nxn: Yeast_Apoptosis, 315,  9,  9,  140, 1, 2, 639179, 14433.87, 0, 0.00, 1: 84; 2: 28; 
Yeast_Apoptosis, 379,  7, 11,  146, 1, 2, 613254, 14433.87, 0, 0.00, 1: 78; 2: 34; 
Yeast_Apoptosis, 737, 10,  8,  146, 1, 2, 633926, 14433.87, 0, 0.00, 1: 78; 2: 34; 
Yeast_Apoptosis, 507,  8, 10,  146, 1, 2, 634104, 14433.87, 0, 0.00, 1: 78; 2: 34; 
Yeast_Apoptosis, 447,  8, 10,  146, 1, 2, 634114, 14433.87, 0, 0.00, 1: 78; 2: 34; 
Yeast_Apoptosis, 902, 10,  8,  146, 1, 2, 633590, 14433.87, 0, 0.00, 1: 78; 2: 34; 
Yeast_Apoptosis, 361,  6, 14,  146, 1, 2, 658827, 14433.87, 65, 0.00, 1: 78; 2: 34; 
Yeast_Apoptosis, 925,  6, 13,  146, 1, 2, 619536, 14433.87, 85, 0.00, 1: 78; 2: 34; 
Yeast_Apoptosis, 465, 11,  7,  146, 1, 2, 613245, 14433.87, 160, 0.00, 1: 78; 2: 34; 
Yeast_Apoptosis, 924, 10,  8,  146, 1, 2, 633913, 14433.87, 131, 0.00, 1: 78; 2: 34; 
Yeast_Apoptosis, 638,  9,  9,  146, 1, 2, 639045, 14433.87, 0, 0.00, 1: 78; 2: 34; 
Yeast_Apoptosis, 699, 10,  8,  146, 1, 2, 634216, 14433.87, 0, 0.00, 1: 78; 2: 34; 
Yeast_Apoptosis, 318, 11,  7,  146, 1, 2, 613313, 14433.87, 0, 0.00, 1: 78; 2: 34; 
Yeast_Apoptosis,  29,  5, 16,  146, 1, 2, 634126, 14433.87, 85, 0.00, 1: 78; 2: 34; 
Yeast_Apoptosis, 626,  7, 11,  146, 1, 2, 613204, 14433.87, 0, 0.00, 1: 78; 2: 34; 
Yeast_Apoptosis, 824, 10,  8,  146, 1, 2, 634137, 14433.87, 0, 0.00, 1: 78; 2: 34; 
Yeast_Apoptosis, 578, 10,  8,  146, 1, 2, 634114, 14433.87, 187, 0.00, 1: 78; 2: 34; 
Yeast_Apoptosis, 849, 11,  7,  146, 1, 2, 613207, 14433.87, 127, 0.00, 1: 78; 2: 34; 
Yeast_Apoptosis, 673,  8, 10,  146, 1, 2, 634116, 14433.87, 0, 0.00, 1: 78; 2: 34; 
Yeast_Apoptosis, 651,  6, 14,  146, 1, 2, 658896, 14433.87, 31, 0.00, 1: 78; 2: 34; 
Yeast_Apoptosis, 845,  7, 12,  146, 1, 2, 658819, 14433.87, 85, 0.00, 1: 78; 2: 34; 
Yeast_Apoptosis, 908,  9,  9,  146, 1, 2, 639347, 14433.87, 131, 0.00, 1: 78; 2: 34; 
Yeast_Apoptosis, 189,  8, 10,  146, 1, 2, 633945, 14433.87, 0, 0.00, 1: 78; 2: 34; 
