Seed 1656949570
ARCH 2|F_ID 2|LIMIT 6
before: 
06(1000)
macrophave_activation, 901, 21, 16,  951, 1, 6, 2696121, 84908.06, 0, 0.00, 1: 272; 2: 147; 3: 47; 4: 36; 5: 14; 6: 5; 
macrophave_activation, 837, 14, 24,  951, 1, 6, 2696270, 84908.06, 0, 0.00, 1: 268; 2: 156; 3: 49; 4: 23; 5: 18; 6: 7; 
macrophave_activation, 214, 14, 23,  951, 1, 6, 2635731, 84908.06, 0, 0.00, 1: 267; 2: 158; 3: 43; 4: 35; 5: 9; 6: 9; 
macrophave_activation, 223, 19, 17,  951, 1, 6, 2600104, 84908.06, 0, 0.00, 1: 267; 2: 155; 3: 50; 4: 31; 5: 8; 6: 10; 
macrophave_activation, 977, 17, 20,  952, 1, 6, 2757790, 84908.06, 0, 0.00, 1: 279; 2: 136; 3: 53; 4: 30; 5: 16; 6: 7; 
macrophave_activation, 561, 17, 19,  952, 1, 6, 2600100, 84908.06, 0, 0.00, 1: 278; 2: 137; 3: 52; 4: 32; 5: 16; 6: 6; 
macrophave_activation, 787, 17, 19,  952, 1, 6, 2600106, 84908.06, 0, 0.00, 1: 277; 2: 136; 3: 56; 4: 31; 5: 15; 6: 6; 
macrophave_activation, 162, 18, 18,  952, 1, 6, 2616157, 84908.06, 0, 0.00, 1: 276; 2: 142; 3: 50; 4: 30; 5: 16; 6: 7; 
macrophave_activation, 187, 16, 21,  953, 1, 6, 2696303, 84908.06, 52, 0.00, 1: 268; 2: 155; 3: 49; 4: 26; 5: 14; 6: 9; 
macrophave_activation,   1, 21, 16,  953, 1, 6, 2695832, 84908.06, 32, 0.00, 1: 282; 2: 132; 3: 54; 4: 28; 5: 17; 6: 8; 
macrophave_activation, 344, 14, 24,  953, 1, 6, 2696067, 84908.06, 32, 0.00, 1: 279; 2: 143; 3: 43; 4: 28; 5: 21; 6: 7; 
macrophave_activation, 363, 16, 21,  953, 1, 6, 2696084, 84908.06, 52, 0.00, 1: 269; 2: 151; 3: 54; 4: 23; 5: 16; 6: 8; 
macrophave_activation, 450, 16, 21,  953, 1, 6, 2696204, 84908.06, 0, 0.00, 1: 278; 2: 143; 3: 47; 4: 28; 5: 14; 6: 11; 
