Seed 1656949570
ARCH 1|F_ID 0|LIMIT 4
before: 
3(175)
IL-6_Signalling, 426,  7, 13,  201, 1, 4, 727923, 20184.74, 0, 0.00, 1: 104; 2: 39; 3: 5; 4: 1; 
IL-6_Signalling, 108,  8, 12,  201, 1, 4, 760146, 20184.74, 60, 0.00, 1: 106; 2: 35; 3: 7; 4: 1; 
IL-6_Signalling, 182,  8, 12,  201, 1, 4, 760134, 20184.74, 0, 0.00, 1: 104; 2: 39; 3: 5; 4: 1; 
IL-6_Signalling, 303,  8, 11,  201, 1, 4, 704352, 20184.74, 0, 0.00, 1: 102; 2: 43; 3: 3; 4: 1; 
IL-6_Signalling, 351,  9, 10,  201, 1, 4, 720487, 20184.74, 0, 0.00, 1: 103; 2: 41; 3: 4; 4: 1; 
IL-6_Signalling, 203,  9, 10,  202, 1, 4, 720308, 20184.74, 0, 0.00, 1: 102; 2: 42; 3: 4; 4: 1; 
IL-6_Signalling,  44,  9, 10,  202, 1, 4, 720242, 20184.74, 2, 0.00, 1: 100; 2: 46; 3: 2; 4: 1; 
IL-6_Signalling, 893, 11,  8,  202, 1, 4, 704352, 20184.74, 0, 0.00, 1: 103; 2: 40; 3: 5; 4: 1; 
IL-6_Signalling, 272,  8, 11,  202, 1, 4, 704352, 20184.74, 22, 0.00, 1: 102; 2: 42; 3: 4; 4: 1; 
IL-6_Signalling, 499,  7, 14,  202, 1, 4, 775096, 20184.74, 0, 0.00, 1: 102; 2: 42; 3: 4; 4: 1; 
IL-6_Signalling, 842,  9, 10,  202, 1, 4, 720415, 20184.74, 0, 0.00, 1: 105; 2: 36; 3: 7; 4: 1; 
IL-6_Signalling, 141,  7, 14,  202, 1, 4, 775005, 20184.74, 0, 0.00, 1: 105; 2: 37; 3: 5; 4: 2; 
IL-6_Signalling,  51, 10,  9,  202, 1, 4, 720437, 20184.74, 0, 0.00, 1: 104; 2: 39; 3: 4; 4: 2; 
IL-6_Signalling, 603,  8, 12,  202, 1, 4, 759231, 20184.74, 0, 0.00, 1: 105; 2: 36; 3: 7; 4: 1; 
IL-6_Signalling, 183,  9, 10,  202, 1, 4, 720369, 20184.74, 0, 0.00, 1: 102; 2: 42; 3: 4; 4: 1; 
IL-6_Signalling, 549,  9, 10,  202, 1, 4, 720459, 20184.74, 0, 0.00, 1: 100; 2: 46; 3: 2; 4: 1; 
IL-6_Signalling, 693, 10,  9,  203, 1, 4, 720450, 20184.74, 0, 0.00, 1: 102; 2: 41; 3: 5; 4: 1; 
IL-6_Signalling, 934, 10,  9,  203, 1, 4, 720416, 20184.74, 0, 0.00, 1: 101; 2: 43; 3: 4; 4: 1; 
IL-6_Signalling, 148,  8, 11,  203, 1, 4, 704352, 20184.74, 85, 0.00, 1: 101; 2: 43; 3: 4; 4: 1; 
IL-6_Signalling, 935,  8, 12,  203, 1, 4, 759986, 20184.74, 0, 0.00, 1: 103; 2: 40; 3: 4; 4: 2; 
IL-6_Signalling,  60,  7, 14,  203, 1, 4, 774928, 20184.74, 6, 0.00, 1: 104; 2: 38; 3: 5; 4: 2; 
